memory_id,instrument,timeframe,activation_status,active_in_runtime,memory_class,required_context_fields,required_field_count
EURUSD_NY_UP_EXTENSION_UPPER_REJECTION_FADE_DOWN_v1_0,EURUSD,M15,HOLDOUT_WEAKENED_PARK_OR_REVIEW,False,weakened_watch_memory,,0
EURUSD_SESSION_UPSIDE_SWEEP_REJECTION_FADE_DOWN_CAVEATED_WATCH_v1_0,EURUSD,M15,ARCHIVED_SUPERSEDED_BY_MTF_DIRECTIONAL_DELIVERY_STANDARD,False,caveated_brain_watch_context,session_bucket|upside_sweep_flag|sweep_then_reject_back_inside_up_flag|h1_dir|h4_dir|conflict_severity,6
USDJPY_ALIGNMENT_ABSENT_CHOP_AVOID_SHORT_CONTEXT_CAVEATED_WATCH_v1_0,USDJPY,M15,ARCHIVED_SUPERSEDED_BY_MTF_DIRECTIONAL_DELIVERY_STANDARD,False,caveated_no_trade_avoidance_context,session_bucket|h4_h1_up_context|h4_h1_down_context|m15_range_ratio_12|m15_dir,5
USDJPY_PRIOR48_NY_UPSIDE_SWEEP_REJECTION_FADE_DOWN_CAVEATED_WATCH_v1_0,USDJPY,M15,ARCHIVED_SUPERSEDED_BY_MTF_DIRECTIONAL_DELIVERY_STANDARD,False,caveated_brain_watch_context,instrument|timeframe|latest_bar_open_ts_utc|session_bucket|upside_sweep_flag|sweep_then_reject_back_inside_up_flag|sweep_reference_type_up|sweep_reference_policy_up|data_sufficiency_status,9
EURUSD_H1_FAILED_BREAKOUT_TRAP_PRIOR_DAY_LOW_LONG_DIRECTIONAL_WATCH_v1_0,EURUSD,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_MEMORY_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_bar_open_ts_utc|session_bucket|d1_trend_state|h4_trend_state|failed_breakout_event_type|failed_breakout_level_type|failed_breakout_reference_policy_id,9
EURUSD_H1_LONDON_NY_OVERLAP_LONDON_LOW_SWEEP_REJECT_LONG_LONG_SESSION_DIRECTIONAL_WATCH_v1_0,EURUSD,H1,ARCHIVED_SUPERSEDED_BY_STRICTER_RECLAIM_CONTRACT_OPS17,False,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_bar_open_ts_utc|session_bucket|d1_trend_state|h4_trend_state|session_reference_range_type|session_reference_break_event_type|session_reference_policy_id,9
EURUSD_H1_LONDON_NY_OVERLAP_LONDON_LOW_SWEEP_RECLAIM_LONG_D1UP_H4UP_CAVEATED_WATCH_v1_0,EURUSD,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_MEMORY_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|base_timeframe|latest_bar_open_ts_utc|session_bucket|d1_trend_state|h4_trend_state|same_utc_date_london_range_available|h1_quality_tier|h1_atr20|london_session_low|london_session_high|london_session_bar_count|h1_low|h1_close|london_low_swept_and_reclaimed_by_closed_h1,16
EURUSD_H1_TARGETED_LONDON_MORNING_LOW_FAILED_DOWNSIDE_LONG_DIRECTIONAL_WATCH_v1_0,EURUSD,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_MEMORY_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_bar_open_ts_utc|session_bucket|d1_trend_state|h4_trend_state|h1_failed_breakout_or_session_sweep_state|failed_breakout_level_type|failed_breakout_failure_side|directional_side|policy_id,11
EURUSD_H1_LONDON_NY_OVERLAP_SESSION_OPEN_TREND_LONG_DIRECTIONAL_WATCH_v1_0,EURUSD,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_h1_bar_open_ts_utc|session_bucket|prior_h1_session|is_first_h1_bar_of_session|h1_open|h1_close|h1_bar_direction|session_open_trend_trigger_state|d1_trend_safe|h4_trend_safe|d1_atr20_safe,13
EURUSD_H1_LONDON_NY_OVERLAP_SESSION_OPEN_TREND_SHORT_DIRECTIONAL_WATCH_v1_0,EURUSD,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_h1_bar_open_ts_utc|session_bucket|prior_h1_session|is_first_h1_bar_of_session|h1_open|h1_close|h1_bar_direction|session_open_trend_trigger_state|d1_trend_safe|h4_trend_safe|d1_atr20_safe,13
USDJPY_H1_LONDON_NY_OVERLAP_SESSION_OPEN_TREND_LONG_DIRECTIONAL_WATCH_v1_0,USDJPY,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_h1_bar_open_ts_utc|session_bucket|prior_h1_session|is_first_h1_bar_of_session|h1_open|h1_close|h1_bar_direction|session_open_trend_trigger_state|d1_trend_safe|h4_trend_safe|d1_atr20_safe,13
USDJPY_H1_LONDON_NY_OVERLAP_SESSION_OPEN_TREND_SHORT_DIRECTIONAL_WATCH_v1_0,USDJPY,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_h1_bar_open_ts_utc|session_bucket|prior_h1_session|is_first_h1_bar_of_session|h1_open|h1_close|h1_bar_direction|session_open_trend_trigger_state|d1_trend_safe|h4_trend_safe|d1_atr20_safe,13
XAUUSD_H1_LONDON_NY_OVERLAP_SESSION_OPEN_TREND_LONG_DIRECTIONAL_WATCH_v1_0,XAUUSD,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_h1_bar_open_ts_utc|session_bucket|prior_h1_session|is_first_h1_bar_of_session|h1_open|h1_close|h1_bar_direction|session_open_trend_trigger_state|d1_trend_safe|h4_trend_safe|d1_atr20_safe,13
XAUUSD_H1_LONDON_NY_OVERLAP_SESSION_OPEN_TREND_SHORT_DIRECTIONAL_WATCH_v1_0,XAUUSD,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_h1_bar_open_ts_utc|session_bucket|prior_h1_session|is_first_h1_bar_of_session|h1_open|h1_close|h1_bar_direction|session_open_trend_trigger_state|d1_trend_safe|h4_trend_safe|d1_atr20_safe,13
EURUSD_H1_LONDON_ASIAN_HIGH_SWEEP_RECLAIM_SHORT_DIRECTIONAL_WATCH_v1_0,EURUSD,H1,ACTIVE_CAVEATED_DIRECTIONAL_WATCH_NOT_SIGNAL,True,caveated_directional_watch_memory_not_signal,instrument|timeframe|latest_h1_bar_open_ts_utc|session_bucket|d1_trend_safe|h4_trend_safe|d1_atr20_safe|h1_high|h1_close|same_utc_date_asian_range_available|asian_session_high|asian_high_swept_and_reclaimed_by_closed_h1,12
